,index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
0,0,288,9/1/2015 00:00:00,9/1/2015 00:04:48,263,Elizabeth St & Hester St,40.717290000000006,-73.996375,307,Canal St & Rutgers St,40.71427487,-73.98990025,15479,Subscriber,1989.0,1
1,2,367,9/1/2015 00:00:01,9/1/2015 00:06:08,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,23921,Customer,,0
2,3,926,9/1/2015 00:00:07,9/1/2015 00:15:34,536,1 Ave & E 30 St,40.74144387,-73.97536082,340,Madison St & Clinton St,40.71269042,-73.98776323,23256,Subscriber,1992.0,1
3,5,392,9/1/2015 00:00:13,9/1/2015 00:06:46,2004,6 Ave & Broome St,40.724399,-74.004704,254,W 11 St & 6 Ave,40.73532427,-73.99800419,15438,Subscriber,1955.0,1
4,7,1071,9/1/2015 00:00:49,9/1/2015 00:18:41,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,3044,Albany Ave & Fulton St,40.6800105,-73.938475,20503,Customer,,0
5,10,190,9/1/2015 00:01:05,9/1/2015 00:04:15,307,Canal St & Rutgers St,40.71427487,-73.98990025,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,22533,Subscriber,1994.0,1
6,11,715,9/1/2015 00:01:06,9/1/2015 00:13:02,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,19355,Subscriber,1984.0,1
7,13,844,9/1/2015 00:01:51,9/1/2015 00:15:55,358,Christopher St & Greenwich St,40.73291553,-74.00711384,147,Greenwich St & Warren St,40.71542197,-74.01121978,15324,Subscriber,1974.0,1
8,16,467,9/1/2015 00:02:09,9/1/2015 00:09:56,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,474,5 Ave & E 29 St,40.7451677,-73.98683077,23871,Subscriber,1989.0,1
9,19,558,9/1/2015 00:02:36,9/1/2015 00:11:55,285,Broadway & E 14 St,40.73454567,-73.99074142,382,University Pl & E 14 St,40.73492695,-73.99200509,18943,Subscriber,1990.0,1
10,21,1247,9/1/2015 00:03:01,9/1/2015 00:23:49,3133,E 67 St & Lexington Ave,40.76734259143217,-73.96485865116121,334,W 20 St & 7 Ave,40.74238787,-73.99726235,20131,Subscriber,1978.0,2
11,25,694,9/1/2015 00:03:25,9/1/2015 00:14:59,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,500,Broadway & W 51 St,40.76228826,-73.98336183,19508,Customer,,0
12,26,634,9/1/2015 00:03:26,9/1/2015 00:14:00,495,W 47 St & 10 Ave,40.76269882,-73.99301222,468,Broadway & W 55 St,40.7652654,-73.98192338,17933,Customer,,0
13,27,885,9/1/2015 00:04:20,9/1/2015 00:19:06,488,W 39 St & 9 Ave,40.75645824,-73.99372222,3223,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,17745,Subscriber,1994.0,2
14,28,174,9/1/2015 00:04:21,9/1/2015 00:07:15,316,Fulton St & William St,40.70955958,-74.00653609,279,Peck Slip & Front St,40.707873,-74.00166999999999,21440,Subscriber,1958.0,1
15,35,881,9/1/2015 00:05:13,9/1/2015 00:19:55,368,Carmine St & 6 Ave,40.73038599,-74.00214988,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15903,Subscriber,1968.0,1
16,37,312,9/1/2015 00:05:56,9/1/2015 00:11:08,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,482,W 15 St & 7 Ave,40.73935542,-73.99931783,20358,Subscriber,1986.0,1
17,40,1148,9/1/2015 00:06:49,9/1/2015 00:25:58,3133,E 67 St & Lexington Ave,40.76734259143217,-73.96485865116121,545,E 23 St & 1 Ave,40.736502,-73.97809472,19209,Subscriber,1970.0,1
18,41,1632,9/1/2015 00:07:04,9/1/2015 00:34:16,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,20073,Customer,,0
19,43,714,9/1/2015 00:07:20,9/1/2015 00:19:15,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,22707,Subscriber,1990.0,1
20,45,326,9/1/2015 00:07:32,9/1/2015 00:12:59,528,2 Ave & E 31 St,40.74290902,-73.97706058,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,21158,Subscriber,1970.0,1
21,46,1010,9/1/2015 00:07:35,9/1/2015 00:24:26,479,9 Ave & W 45 St,40.76019252,-73.9912551,498,Broadway & W 32 St,40.74854862,-73.98808416,14592,Subscriber,1973.0,1
22,47,976,9/1/2015 00:07:39,9/1/2015 00:23:55,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,18799,Subscriber,1984.0,1
