Trip_no,VendorID,PU_hour,DO_hour,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Trip_type
1,2,17,17,N,1,-73.9929657,40.69750214,-73.98948669,40.68153381,1,1.55,7,1,0.5,0,0, ,0.3,8.8,1
2,2,17,17,N,1,-73.90848541,40.77096176,-73.9016037,40.74955368,5,2.08,9,1,0.5,0,0, ,0.3,10.8,1
3,2,17,17,N,1,-73.98665619,40.66942215,-73.98655701,40.67876053,1,2.67,11,1,0.5,0,0, ,0.3,12.8,1
4,1,17,17,N,5,-73.85575104,40.69324112,-73.85574341,40.69324112,3,0.6,90,0,0,0,0, ,0,90,2
5,2,17,17,N,1,-73.98652649,40.70241928,-73.97227478,40.69488144,1,1.21,6.5,1,0.5,1.66,0, ,0.3,9.96,1
6,2,17,17,N,1,-73.96189117,40.80546188,-73.96472931,40.80688858,1,1.5,7,1,0.5,0,0, ,0.3,8.8,1
7,2,17,17,N,1,-73.88963318,40.74590683,-73.88202667,40.73501968,1,1.14,8.5,1,0.5,0,0, ,0.3,10.3,1
8,2,17,17,N,1,-73.92806244,40.81174088,-73.92560577,40.83950806,1,2.07,9.5,1,0.5,0,0, ,0.3,11.3,1
9,2,17,17,N,1,-73.93804932,40.82316208,-73.95275879,40.8030014,1,1.58,8.5,1,0.5,0,0, ,0.3,10.3,1
10,2,17,17,N,1,-73.93908691,40.80544281,-73.86547089,40.77052307,1,7.4,24.5,1,0.5,6.37,5.54, ,0.3,38.21,1
11,2,17,17,N,1,-73.92147827,40.7665596,-73.90766907,40.77399826,1,1.08,7.5,1,0.5,0,0, ,0.3,9.3,1
12,1,17,17,N,1,-73.98733521,40.69192505,-73.9732666,40.6958847,1,1,6,1,0.5,0,0, ,0.3,7.8,1
13,2,17,17,N,1,-73.95623016,40.79978943,-73.96690369,40.80432129,2,0.71,7,1,0.5,0,0, ,0.3,8.8,1
14,2,17,17,N,1,-73.8770752,40.73665237,-73.90731812,40.74206161,6,1.61,8,1,0.5,0,0, ,0.3,9.8,1
15,2,17,17,N,1,-73.99286652,40.70253372,-73.97823334,40.75341797,1,4.96,24,1,0.5,0,0, ,0.3,25.8,1
16,1,17,17,N,1,-73.93772125,40.75900269,-73.92445374,40.74363708,2,1.8,9,1,0.5,2.7,0, ,0.3,13.5,1
17,2,17,17,N,1,-73.94711304,40.83095551,-73.921875,40.86842728,1,3.42,12.5,1,0.5,0,0, ,0.3,14.3,1
18,2,17,17,N,1,-73.96252441,40.71007156,-73.99523163,40.72521973,2,2.75,16.5,1,0.5,1,0, ,0.3,19.3,1
19,1,17,17,N,1,-73.89009857,40.74613571,-73.87075043,40.74697113,1,1.2,8,1,0.5,0,0, ,0.3,9.8,1
20,1,17,17,N,1,-73.9445343,40.69592667,-73.93878937,40.68606949,1,1.1,6.5,1,0.5,0,0, ,0.3,8.3,1
21,2,17,17,N,1,-73.93906403,40.80554199,-73.94037628,40.82474136,1,1.88,12,1,0.5,2,0, ,0.3,15.8,1
22,2,17,17,N,1,-73.99170685,40.68493271,-73.95937347,40.68100357,1,2.1,14.5,1,0.5,3.26,0, ,0.3,19.56,1
23,2,17,17,N,1,-73.84403992,40.72104645,-73.84588623,40.71004486,1,0.97,5.5,1,0.5,0,0, ,0.3,7.3,1
24,1,17,17,N,1,-73.87123871,40.73379898,-73.81737518,40.70766449,1,4.4,20.5,1,0.5,0,0, ,0.3,22.3,1
25,2,17,17,N,1,-73.94744873,40.82541656,-73.93996429,40.78966522,1,3.43,16,1,0.5,0,0, ,0.3,17.8,1
26,2,17,17,N,1,-73.94113159,40.79941177,-73.94787598,40.8044281,1,0.63,7.5,1,0.5,1.86,0, ,0.3,11.16,1
