ID,tripduration,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,gender
1,146,237,E 11 St & 2 Ave,40.73047309,-73.98672378,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,15253,1
2,1401,302,Avenue D & E 3 St,40.72082834,-73.97793172,463,9 Ave & W 16 St,40.74206539,-74.00443172,16280,2
3,353,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,499,Broadway & W 60 St,40.76915505,-73.98191841,16390,1
4,877,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,295,Pike St & E Broadway,40.71406667,-73.99293911,14869,2
5,277,317,E 6 St & Avenue B,40.72453734,-73.98185424,411,E 6 St & Avenue D,40.72228087,-73.97668709,20110,1
6,290,470,W 20 St & 8 Ave,40.74345335,-74.00004031,402,Broadway & E 22 St,40.7403432,-73.98955109,20939,1
7,1287,518,E 39 St & 2 Ave,40.74780373,-73.9734419,265,Stanton St & Chrystie St,40.72229346,-73.99147535,15016,2
8,599,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,16033,1
9,832,228,E 48 St & 3 Ave,40.7546011,-73.97187886,529,W 42 St & 8 Ave,40.7575699,-73.99098507,18259,1
10,662,293,Lafayette St & E 8 St,40.73028666,-73.9907647,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,18603,1
11,587,312,Allen St & E Houston St,40.722055,-73.989111,2009,Catherine St & Monroe St,40.71117444,-73.99682619,17532,1
12,340,293,Lafayette St & E 8 St,40.73028666,-73.9907647,504,1 Ave & E 15 St,40.73221853,-73.98165557,17965,1
13,891,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,470,W 20 St & 8 Ave,40.74345335,-74.00004031,19147,1
14,451,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,428,E 3 St & 1 Ave,40.72467721,-73.98783413,18876,1
15,30260,505,6 Ave & W 33 St,40.74901271,-73.98848395,347,W Houston St & Hudson St,40.72873888,-74.00748842,15195,1
16,186,262,Washington Park,40.69178232,-73.97372989,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,21664,1
17,244,334,W 20 St & 7 Ave,40.74238787,-73.99726235,494,W 26 St & 8 Ave,40.74734825,-73.99723551,15696,1
18,759,474,5 Ave & E 29 St,40.7451677,-73.98683077,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15003,2
19,1010,334,W 20 St & 7 Ave,40.74238787,-73.99726235,439,E 4 St & 2 Ave,40.7262807,-73.98978041,16731,1
